NAME,COMCODE
COMPANY ABC1,10121000
COMPANY ABC1,10129100
COMPANY ABC1,10129900
COMPANY ABC1,10130000
COMPANY ABC2,10190000
COMPANY ABC2,10121000
COMPANY ABC2,10129100
COMPANY ABC2,10129900
COMPANY ABC2,10229590
COMPANY ABC5,10229610
COMPANY ABC6,10229690
COMPANY ABC7,10229910
COMPANY ABC8,10229990
COMPANY ABC9,10231000
COMPANY ABC10,10239100
COMPANY ABC11,10239900
COMPANY ABC12,10290200
COMPANY ABC13,10290910
COMPANY ABC14,10290990
COMPANY ABC15,10310000
COMPANY ABC16,10391100
COMPANY ABC17,10391900
COMPANY ABC18,10392110
COMPANY ABC19,10392190
COMPANY ABC20,10229610
COMPANY ABC21,10229690
COMPANY ABC22,10229910
COMPANY ABC23,10229990
COMPANY ABC24,10231000
COMPANY ABC25,10239100
COMPANY ABC26,10239900
COMPANY ABC27,10290200
COMPANY ABC28,10290910
COMPANY ABC29,10290990
COMPANY ABC30,10310000
COMPANY ABC31,10391100
COMPANY ABC32,10391900
COMPANY ABC33,10392110
COMPANY ABC34,10392190
COMPANY ABC35,10229290
COMPANY ABC36,10229410
COMPANY ABC37,10229490
COMPANY ABC38,10229510
COMPANY ABC39,10229590
COMPANY ABC40,10229610
COMPANY ABC41,10229690
COMPANY ABC42,10229910
COMPANY ABC43,10229990
COMPANY ABC44,10231000
COMPANY ABC45,10239100
COMPANY ABC46,10239900
COMPANY ABC47,10290200
COMPANY ABC48,10290910
COMPANY ABC49,10290990
COMPANY ABC50,10310000
COMPANY ABC51,10391100
COMPANY ABC52,10391900
COMPANY ABC53,10392110
COMPANY ABC54,10392190
COMPANY ABC55,10392900
COMPANY ABC56,10410100
COMPANY ABC57,10410300
COMPANY ABC58,10410800
COMPANY ABC59,10420100
COMPANY ABC60,10420900
COMPANY ABC61,10511110
COMPANY ABC62,10511190
COMPANY ABC63,10511910
COMPANY ABC64,10511990
COMPANY ABC65,10512000
COMPANY ABC66,10121000
COMPANY ABC67,10129100
COMPANY ABC68,10129900
COMPANY ABC69,10130000
COMPANY ABC70,10121000
COMPANY ABC71,10129100
COMPANY ABC72,10129900
COMPANY ABC73,10130000
COMPANY ABC74,10121000
COMPANY ABC75,10129100
COMPANY ABC76,10129900
COMPANY ABC77,10130000
COMPANY ABC78,10229610
COMPANY ABC79,10229690
COMPANY ABC80,10229910
COMPANY ABC81,10229990
COMPANY ABC82,10231000
COMPANY ABC83,10239100
COMPANY ABC84,10239900
COMPANY ABC85,10290200
COMPANY ABC86,10290910
COMPANY ABC87,10229610
COMPANY ABC88,10229690
COMPANY ABC89,10229910
COMPANY ABC90,10229990
COMPANY ABC91,10231000
COMPANY ABC92,10239100
COMPANY ABC93,10239900
COMPANY ABC94,10290200
COMPANY ABC95,10290910
COMPANY ABC96,10290910
COMPANY ABC97,10229610
COMPANY ABC98,10229690
COMPANY ABC99,10229910
COMPANY ABC100,10229990
COMPANY ABC101,10231000
COMPANY ABC102,10239100
COMPANY ABC103,10239900
COMPANY ABC104,10290200
COMPANY ABC105,10290910
COMPANY ABC106,10290910
COMPANY ABC107,10290910
COMPANY ABC108,10290910
