CompanyName, CompanyNumber,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2
HIBBERT ENGINEERING SERVICES LIMITED,03612188,United Kingdom,33120 - Repair of machinery,
PARENT GUARDIAN LIMITED,11445409,United Kingdom,"46510 - Wholesale of computers, computer peripheral equipment and software",
GYM AND LIFE LTD,12250711,United Kingdom,46420 - Wholesale of clothing and footwear,
ELCH DBFMCO LIMITED,SC535638,United Kingdom,41100 - Development of building projects,
MOOREFIELD INVESTMENTS LIMITED,NI644873,United Kingdom,41100 - Development of building projects,41201 - Construction of commercial buildings
WARRIORS FITNESS CENTRE LTD,12203725,United Kingdom,93130 - Fitness facilities,
ARRIVA TRAINING LIMITED,09616015,United Kingdom,85600 - Educational support services,
CHEEVERS HOWARD LTD,08696035,United Kingdom,41100 - Development of building projects,
NICHOLAS COURT (MANAGEMENT) LIMITED,00593171,United Kingdom,98000 - Residents property management,
COMEDY SUPPORT ACT UK LTD,09295341,United Kingdom,90020 - Support activities to performing arts,
MYA CAR CLEANING SERVICES LTD,12091870,United Kingdom,96090 - Other service activities n.e.c.,
MELANOS PUBLISHING LTD,12626120,United Kingdom,58110 - Book publishing,
JMG EDUCATION CONSULTANTS LIMITED,09084404,United Kingdom,62020 - Information technology consultancy activities,
PREVISE EVENTS LTD,09231282,United Kingdom,99999 - Dormant Company,
ML ASSET SOLUTIONS LIMITED,09618787,United Kingdom,"74909 - Other professional, scientific and technical activities n.e.c.",
SAFETY RAMS LIMITED,11221906,United Kingdom,96090 - Other service activities n.e.c.,
GRYNAELA LTD,11276443,United Kingdom,"47990 - Other retail sale not in stores, stalls or markets",
LEON RESTAURANTS LIMITED,05018441,United Kingdom,56101 - Licensed restaurants,
FENDTWIST LIMITED,07117503,United Kingdom,"74909 - Other professional, scientific and technical activities n.e.c.",
RICHARD J CLARKE LIMITED,10839454,United Kingdom,70229 - Management consultancy activities other than financial management,
CLUB CAROB LTD,11569876,United Kingdom,88910 - Child day-care activities,
ROWANI LTD,12567813,United Kingdom,46190 - Agents involved in the sale of a variety of goods,
DEVON FUEL ASSOCIATES LTD. T/A SERVICETECH SOUTH WEST PARTNERSHIP,LP008789,United Kingdom,None Supplied,
ROCHESTER (MENSWEAR) LIMITED,NI026347,United Kingdom,99999 - Dormant Company,
PRIMARY FIRST AID TRAINING LTD,08692892,United Kingdom,86900 - Other human health activities,
FUNDWORKS LIMITED,04007149,United Kingdom,82990 - Other business support service activities n.e.c.,
RICARICA FILMS LTD,10388564,United Kingdom,82990 - Other business support service activities n.e.c.,
BROLIE LIMITED,08862497,United Kingdom,82990 - Other business support service activities n.e.c.,
CONSERVE AFRICA,CE007880,United Kingdom,None Supplied,
R BURKINSHAW AND SONS LIMITED,05086881,United Kingdom,42990 - Construction of other civil engineering projects n.e.c.,77320 - Renting and leasing of construction and civil engineering machinery and equipment
BRANCEPETH MANOR PARK LTD,10264945,United Kingdom,68209 - Other letting and operating of own or leased real estate,
ARIF & CO LTD,08741716,United Kingdom,69201 - Accounting and auditing activities,
KIRAN PROPERTIES LIMITED,10130315,United Kingdom,68209 - Other letting and operating of own or leased real estate,
JB ELITE LIMITED,12469674,United Kingdom,78109 - Other activities of employment placement agencies,
ATHANASAKOS MAINTENANCE LTD,11206808,United Kingdom,33160 - Repair and maintenance of aircraft and spacecraft,
INFINITE TRADE LTD,11795290,United Kingdom,45112 - Sale of used cars and light motor vehicles,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
HUMMINGBIRD HOMES LIMITED,10784190,United Kingdom,41202 - Construction of domestic buildings,
REFRACT LIMITED,04905139,United Kingdom,86900 - Other human health activities,
TJG BUSINESS SERVICES LTD,SC473710,United Kingdom,69201 - Accounting and auditing activities,69202 - Bookkeeping activities
30:30 RECORDINGS LTD,05907079,United Kingdom,82990 - Other business support service activities n.e.c.,
OPTIMISED SOLUTION LTD,11543809,United Kingdom,62020 - Information technology consultancy activities,
SKERNE VALLEY DEVELOPMENTS LIMITED,09907442,United Kingdom,41100 - Development of building projects,
KINGSWAY MEDICAL LIMITED,10284397,United Kingdom,85590 - Other education n.e.c.,
DHINSA REAL ESTATE LIMITED,10797363,United Kingdom,68202 - Letting and operating of conference and exhibition centres,
INITECH LIMITED,08608173,United Kingdom,70229 - Management consultancy activities other than financial management,
EMBRACE LATER LIFE LTD,12340261,United Kingdom,46190 - Agents involved in the sale of a variety of goods,
3 DIMENSIONAL LIFE LIMITED,12539228,United Kingdom,43120 - Site preparation,
HUDDERSFIELD FOOD SERVICE LIMITED,06573008,United Kingdom,"46390 - Non-specialised wholesale of food, beverages and tobacco",
YOU AND THE BIBLE LIMITED,09899976,United Kingdom,85590 - Other education n.e.c.,
PHARMACEUTICAL IDENTITY LIMITED,02814018,United Kingdom,46460 - Wholesale of pharmaceutical goods,
STEPPING STONES EDUCATION LTD,11420631,United Kingdom,85590 - Other education n.e.c.,
GALLOWAY MCBAIN LIMITED,SC574612,United Kingdom,56101 - Licensed restaurants,
MORTON THOMAS CONSULTING LIMITED,10910618,United Kingdom,70221 - Financial management,
2 RENT GLOBAL LIMITED,08059681,United Kingdom,82990 - Other business support service activities n.e.c.,
RAILWAY TAVERN RESIDENTS COMPANY LIMITED,05808589,United Kingdom,68320 - Management of real estate on a fee or contract basis,
ADAM SMITH SCHOOL OF BUSINESS AND MANAGEMENT LIMITED,SC269235,United Kingdom,99999 - Dormant Company,
EPIC STAFF LTD,NI649973,United Kingdom,78109 - Other activities of employment placement agencies,
SAHIB AKAAL CONSTRUCTIONS LTD,10093001,United Kingdom,41201 - Construction of commercial buildings,41202 - Construction of domestic buildings
MAMA SAVOURY LIMITED,12779918,United Kingdom,10840 - Manufacture of condiments and seasonings,10850 - Manufacture of prepared meals and dishes
MATTHEW & JANNELLE IT SOLUTIONS LTD.,11105648,United Kingdom,62020 - Information technology consultancy activities,
KAPPA FOODS LTD,12200610,United Kingdom,56210 - Event catering activities,56290 - Other food services
PRODUCT VALIDATION SERVICES LTD,08280101,United Kingdom,62020 - Information technology consultancy activities,
JAY KNOPF LIMITED,07163432,United Kingdom,82990 - Other business support service activities n.e.c.,
PHP MEDICAL PROPERTIES LIMITED,04246742,United Kingdom,41100 - Development of building projects,
WARWICK SPORTS ONLINE LIMITED,05741122,United Kingdom,99999 - Dormant Company,
FLEUR ALDEBURGH LIMITED,07569362,United Kingdom,47710 - Retail sale of clothing in specialised stores,
MORCOTT LTD,08135952,United Kingdom,81300 - Landscape service activities,
FOOD TECHNOLOGY SERVICES LTD,08827505,United Kingdom,"74909 - Other professional, scientific and technical activities n.e.c.",
TOWNGATE PLC,00956979,United Kingdom,68100 - Buying and selling of own real estate,
PARAMIN LTD,06664976,United Kingdom,56102 - Unlicensed restaurants and cafes,
LUXX LIVING LTD,11924814,United Kingdom,47190 - Other retail sale in non-specialised stores,
ASHWELL HERITAGE LIMITED,11413375,United Kingdom,68310 - Real estate agencies,
TRADEFROG LIMITED,12649473,United Kingdom,46190 - Agents involved in the sale of a variety of goods,
REMAP WM LIMITED,11810362,United Kingdom,45200 - Maintenance and repair of motor vehicles,
DEEVELOPMEDIA LTD,12139159,United Kingdom,73120 - Media representation services,74203 - Film processing
DLC CATERING BUTCHERS LTD,12196443,United Kingdom,46320 - Wholesale of meat and meat products,
THE CANNED WATER COMPANY LTD,12111469,United Kingdom,"46341 - Wholesale of fruit and vegetable juices, mineral water and soft drinks",
MIGHTY PRODUCTIONS LIMITED,09486563,United Kingdom,73120 - Media representation services,
SACHA SAVANNA LTD,12216929,United Kingdom,47910 - Retail sale via mail order houses or via Internet,
EASTERN LASER VISION LTD,06982574,United Kingdom,86220 - Specialists medical practice activities,
"SHTG TESTING MACHINE CO., LTD",07868951,United Kingdom,99999 - Dormant Company,
SALWA IBRAHIM STRESS FREE LIVING LTD.,12595446,United Kingdom,88990 - Other social work activities without accommodation n.e.c.,
EARTH CAPITAL LIMITED,06907145,United Kingdom,64999 - Financial intermediation not elsewhere classified,
MEDASH SIGNS LIMITED,02125753,United Kingdom,32990 - Other manufacturing n.e.c.,
FORMULA E TEAMS AND MANUFACTURERS LIMITED,09301314,United Kingdom,94990 - Activities of other membership organizations n.e.c.,
FINLAY'S FRIENDS,CS002479,United Kingdom,None Supplied,
MACSPEC ENGINEERING LTD,NI042683,United Kingdom,43390 - Other building completion and finishing,
PEAKARB LIMITED,12299561,United Kingdom,02400 - Support services to forestry,
REEVE CONSULTANCY LIMITED,10255473,United Kingdom,62020 - Information technology consultancy activities,
DW RECORDS LIMITED,08423933,United Kingdom,59200 - Sound recording and music publishing activities,
KNOTTY BEAR LTD,11053248,United Kingdom,32300 - Manufacture of sports goods,
CARDIFF CREATIVE LTD,11251717,United Kingdom,47190 - Other retail sale in non-specialised stores,90030 - Artistic creation
TESCIUBA TRADING LIMITED,09299748,United Kingdom,74990 - Non-trading company,
SCRIBBLE MEDIA MARKETING LTD,09583836,United Kingdom,"63110 - Data processing, hosting and related activities",
DMT PROPERTY LIMITED,10541028,United Kingdom,68100 - Buying and selling of own real estate,68201 - Renting and operating of Housing Association real estate
THE BRAND STUDIO COLLECTIVE LTD,11698207,United Kingdom,18130 - Pre-press and pre-media services,74202 - Other specialist photography
LONDON FERMENTARY LIMITED,11318459,United Kingdom,10890 - Manufacture of other food products n.e.c.,
JMD FORESTRY LIMITED,09393420,United Kingdom,02400 - Support services to forestry,
MY GLAM SQUAD LTD,10137698,United Kingdom,82990 - Other business support service activities n.e.c.,
ZODEB LTD,10742382,United Kingdom,99999 - Dormant Company,
